MARSHA,Number of Pages,Notes,BOX Link,Date Added to BOX,Keyword File Set Up Due,Keywords Due
EVNMC,1,Global Client Services,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/2/2017,11/7/2017,11/7/2017
LNZCY,2,Global Client Services,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/2/2017,11/7/2017,11/7/2017
VIEAT,3,Global Client Services,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/2/2017,11/7/2017,11/7/2017
VIECY,2,Global Client Services,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/10/2017,11/15/2017,11/15/2017
VIEFG,3,EU,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/10/2017,11/15/2017,11/15/2017
VIEHW,4,Global Client Services,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/13/2017,11/18/2017,11/18/2017
VIEOX,5,Global Client Services,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/13/2017,11/18/2017,11/18/2017
VIESE,3,Global Client Services,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/15/2017,11/20/2017,11/20/2017
GYDJW,6,EU,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/16/2017,11/21/2017,11/21/2017
MHPBR,7,EU,https://mdigitalservices.box.com/s/2gwauhr1ab37euoy56kzj0xinf6xu12s,11/17/2017,11/22/2017,11/22/2017
