MARSHA,Sig + (# of Pages TBD),FOUNDATIONS PROGRAM (7 Pages),EXPANDED SEO (5 More Pages),Outlet Marketing Bundle (3 Pages),Notes,BOX Location,Date Added to BOX,Keyword Set Up Due,Keyword Set Up and Uploaded to Box,Keywords completed Due Date
AVLAK,,,,,Global Client Services,,,,,
BHMAG,,,,,Global Client Services,,,,,
CHSAK,,,,,Global Client Services,,,,,
JAXAK,,,,,Global Client Services,,,,,
MANAC,,,,,EU,,,,,
MCOAK,,,,,Global Client Services,,,,,
MCOCA,,,,,Global Client Services,,,,,
MCOCB,,,,,Global Client Services,,,,,
MOWNA,,,,,EU,,,,,
ROMEX,,,,,EU,,,,,
SAVAD,,,,,Global Client Services,,,,,
SAVAK,,,,,Global Client Services,,,,,
SINJW,,,,,APAC,,,,,
STOCY,,,,,EU,,,,,
SUXDE,,,,,Global Client Services,,,,,
RTMMC,,,,,EU,,,,,
AUHCY,,,,,Global Client Services,,,,,
BRQCY,,,,,EU,,,,,
BRUCY,,,,,EU,,,,,
HKTMB,,,,,Global Client Services,,,,,
LONXE,,,,,EU,,,,,
NCEAC,,,,,EU,,,,,
PNQMC,,,,,Global Client Services,,,,,
FEZMC,,,,,Global Client Services,,,,,
IDRFI,,,,,Global Client Services,,,,,
JAINH,,,,,Global Client Services,,,,,
JDHFI,,,,,Global Client Services,,,,,
IDRMH,,,,,Global Client Services,,,,,
VTZFI,,,,,Global Client Services,,,,,
CJBFI,,,,,Global Client Services,,,,,
MCMCD,,,,,EU,,,,,
